05-05-2021 03:41:46.351,-,SERIAL,"COM5 - 9600/8/N/1/N"
05-05-2021 01:17:25.086,463,SENT,61
05-05-2021 01:17:25.117,464,RECV,61
05-05-2021 01:17:25.179,465,SENT,74
05-05-2021 01:17:25.241,466,RECV,74
05-05-2021 01:17:25.921,467,SENT,3D
05-05-2021 01:17:25.928,468,RECV,3D
05-05-2021 01:17:28.890,469,SENT,0D
05-05-2021 01:17:28.937,470,RECV,0D0D0A4552524F520D0A
05-05-2021 01:17:34.324,471,SENT,61
05-05-2021 01:17:34.386,472,RECV,61
05-05-2021 01:17:34.449,473,SENT,74
05-05-2021 01:17:34.511,474,RECV,74
05-05-2021 01:17:36.214,475,SENT,2B
05-05-2021 01:17:36.262,476,RECV,2B
05-05-2021 01:17:37.312,477,SENT,63
05-05-2021 01:17:37.374,478,RECV,63
05-05-2021 01:17:37.436,479,SENT,70
05-05-2021 01:17:37.499,480,RECV,70
05-05-2021 01:17:37.686,481,SENT,74
05-05-2021 01:17:37.749,482,RECV,74
05-05-2021 01:17:37.811,483,SENT,6F
05-05-2021 01:17:37.874,484,RECV,6F
05-05-2021 01:17:37.921,485,SENT,6E
05-05-2021 01:17:37.936,486,RECV,6E
05-05-2021 01:17:37.936,487,SENT,65
05-05-2021 01:17:37.999,488,RECV,65
05-05-2021 01:17:40.192,489,SENT,3D
05-05-2021 01:17:40.208,490,RECV,3D
05-05-2021 01:17:40.467,491,SENT,31
05-05-2021 01:17:40.530,492,RECV,31
05-05-2021 01:17:40.920,493,SENT,0D
05-05-2021 01:17:40.968,494,RECV,0D0D0A4F4B0D0A
05-05-2021 01:17:45.657,495,SENT,61
05-05-2021 01:17:45.704,496,RECV,61
05-05-2021 01:17:45.782,497,SENT,74
05-05-2021 01:17:45.829,498,RECV,74
05-05-2021 01:17:46.329,499,SENT,2B
05-05-2021 01:17:46.390,500,RECV,2B
05-05-2021 01:17:46.639,501,SENT,63
05-05-2021 01:17:46.702,502,RECV,63
05-05-2021 01:17:46.749,503,SENT,70
05-05-2021 01:17:46.764,504,RECV,70
05-05-2021 01:17:46.968,505,SENT,74
05-05-2021 01:17:47.015,506,RECV,74
05-05-2021 01:17:47.210,507,SENT,6F
05-05-2021 01:17:47.210,508,SENT,6E
05-05-2021 01:17:47.257,509,RECV,6F6E
05-05-2021 01:17:47.366,510,SENT,65
05-05-2021 01:17:47.382,511,RECV,65
05-05-2021 01:17:47.913,512,SENT,3D
05-05-2021 01:17:47.945,513,RECV,3D
05-05-2021 01:17:48.038,514,SENT,31
05-05-2021 01:17:48.069,515,RECV,31
05-05-2021 01:17:48.423,516,SENT,0D
05-05-2021 01:17:48.439,517,RECV,0D0D0A4F4B0D0A
05-05-2021 01:17:49.738,518,SENT,61
05-05-2021 01:17:49.753,519,RECV,61
05-05-2021 01:17:49.878,520,SENT,74
05-05-2021 01:17:49.940,521,RECV,74
05-05-2021 01:17:50.315,522,SENT,2B
05-05-2021 01:17:50.378,523,RECV,2B
05-05-2021 01:17:50.761,524,SENT,63
05-05-2021 01:17:50.808,525,RECV,63
05-05-2021 01:17:50.886,526,SENT,70
05-05-2021 01:17:50.933,527,RECV,70
05-05-2021 01:17:51.443,528,SENT,74
05-05-2021 01:17:51.489,529,RECV,74
05-05-2021 01:17:51.552,530,SENT,6F
05-05-2021 01:17:51.614,531,RECV,6F
05-05-2021 01:17:51.677,532,SENT,6E
05-05-2021 01:17:51.692,533,SENT,65
05-05-2021 01:17:51.739,534,RECV,6E65
05-05-2021 01:17:52.578,535,SENT,3D
05-05-2021 01:17:52.625,536,RECV,3D
05-05-2021 01:17:52.703,537,SENT,32
05-05-2021 01:17:52.750,538,RECV,32
05-05-2021 01:17:52.828,539,SENT,0D
05-05-2021 01:17:52.875,540,RECV,0D0D0A4F4B0D0A
05-05-2021 01:17:53.860,541,SENT,61
05-05-2021 01:17:53.876,542,RECV,61
05-05-2021 01:17:54.017,543,SENT,74
05-05-2021 01:17:54.063,544,RECV,74
05-05-2021 01:17:54.434,545,SENT,2B
05-05-2021 01:17:54.450,546,RECV,2B
05-05-2021 01:17:54.809,547,SENT,63
05-05-2021 01:17:54.825,548,RECV,63
05-05-2021 01:17:54.918,549,SENT,70
05-05-2021 01:17:54.950,550,RECV,70
05-05-2021 01:17:55.090,551,SENT,74
05-05-2021 01:17:55.137,552,RECV,74
05-05-2021 01:17:55.258,553,SENT,6F
05-05-2021 01:17:55.320,554,RECV,6F
05-05-2021 01:17:55.351,555,SENT,6E
05-05-2021 01:17:55.383,556,RECV,6E
05-05-2021 01:17:56.336,557,SENT,3D
05-05-2021 01:17:56.383,558,RECV,3D
05-05-2021 01:17:56.484,559,SENT,33
05-05-2021 01:17:56.500,560,RECV,33
05-05-2021 01:17:57.015,561,SENT,0D
05-05-2021 01:17:57.063,562,RECV,0D0D0A4552524F520D0A
05-05-2021 01:17:58.407,563,SENT,61
05-05-2021 01:17:58.438,564,RECV,61
05-05-2021 01:17:58.527,565,SENT,74
05-05-2021 01:17:58.558,566,RECV,74
05-05-2021 01:17:58.950,567,SENT,2B
05-05-2021 01:17:58.996,568,RECV,2B
05-05-2021 01:17:59.408,569,SENT,63
05-05-2021 01:17:59.439,570,RECV,63
05-05-2021 01:17:59.502,571,SENT,70
05-05-2021 01:17:59.565,572,RECV,70
05-05-2021 01:17:59.799,573,SENT,74
05-05-2021 01:17:59.814,574,RECV,74
05-05-2021 01:17:59.939,575,SENT,6F
05-05-2021 01:18:00.002,576,RECV,6F
05-05-2021 01:18:00.033,577,SENT,6E
05-05-2021 01:18:00.064,578,RECV,6E
05-05-2021 01:18:00.064,579,SENT,65
05-05-2021 01:18:00.127,580,RECV,65
05-05-2021 01:18:01.311,581,SENT,3D
05-05-2021 01:18:01.373,582,RECV,3D
05-05-2021 01:18:01.420,583,SENT,34
05-05-2021 01:18:01.436,584,RECV,34
05-05-2021 01:18:01.904,585,SENT,0D
05-05-2021 01:18:01.936,586,RECV,0D0D0A4F4B0D0A
05-05-2021 01:18:02.745,587,SENT,61
05-05-2021 01:18:02.776,588,RECV,61
05-05-2021 01:18:02.870,589,SENT,74
05-05-2021 01:18:02.901,590,RECV,74
05-05-2021 01:18:03.732,591,SENT,2B
05-05-2021 01:18:03.779,592,RECV,2B
05-05-2021 01:18:04.153,593,SENT,63
05-05-2021 01:18:04.153,594,RECV,63
05-05-2021 01:18:04.279,595,SENT,70
05-05-2021 01:18:04.341,596,RECV,70
05-05-2021 01:18:04.538,597,SENT,74
05-05-2021 01:18:04.584,598,RECV,74
05-05-2021 01:18:04.662,599,SENT,6F
05-05-2021 01:18:04.709,600,RECV,6F
05-05-2021 01:18:04.772,601,SENT,6E
