05-14-2021 20:49:36.550,-,SERIAL,"COM8 - 115200/8/N/1/N"
05-14-2021 20:42:14.155,9070,RECV,414142370D0A
05-14-2021 20:42:15.161,9071,RECV,414142370D0A
05-14-2021 20:42:16.165,9072,RECV,414142370D0A
05-14-2021 20:42:17.166,9073,RECV,414142370D0A
05-14-2021 20:42:18.164,9074,RECV,414142370D0A
05-14-2021 20:42:19.162,9075,RECV,414142370D0A
05-14-2021 20:42:20.159,9076,RECV,414142370D0A
05-14-2021 20:42:21.162,9077,RECV,414142370D0A
05-14-2021 20:42:22.161,9078,RECV,414142370D0A
05-14-2021 20:42:23.158,9079,RECV,414142370D0A
05-14-2021 20:42:24.156,9080,RECV,414142370D0A
05-14-2021 20:42:25.164,9081,RECV,414142370D0A
05-14-2021 20:42:26.166,9082,RECV,414142370D0A
05-14-2021 20:42:27.169,9083,RECV,414142370D0A
05-14-2021 20:42:28.172,9084,RECV,414142370D0A
05-14-2021 20:42:29.172,9085,RECV,414142370D0A
05-14-2021 20:42:30.170,9086,RECV,414142370D0A
05-14-2021 20:42:31.172,9087,RECV,414142370D0A
05-14-2021 20:42:32.170,9088,RECV,414142370D0A
05-14-2021 20:42:33.171,9089,RECV,414142370D0A
05-14-2021 20:42:34.167,9090,RECV,414142370D0A
05-14-2021 20:42:35.179,9091,RECV,414142370D0A
05-14-2021 20:42:36.183,9092,RECV,414142370D0A
05-14-2021 20:42:37.183,9093,RECV,414142370D0A
05-14-2021 20:42:38.184,9094,RECV,414142370D0A
05-14-2021 20:42:39.184,9095,RECV,414142370D0A
05-14-2021 20:42:40.185,9096,RECV,414142370D0A
05-14-2021 20:42:41.188,9097,RECV,414142370D0A
05-14-2021 20:42:42.187,9098,RECV,414142370D0A
05-14-2021 20:42:43.190,9099,RECV,414142370D0A
05-14-2021 20:42:44.188,9100,RECV,414142370D0A
05-14-2021 20:42:45.196,9101,RECV,414142370D0A
05-14-2021 20:42:46.200,9102,RECV,414142370D0A
05-14-2021 20:42:47.204,9103,RECV,414142370D0A
05-14-2021 20:42:48.205,9104,RECV,414142370D0A
05-14-2021 20:42:49.203,9105,RECV,414142370D0A
05-14-2021 20:42:50.208,9106,RECV,414142370D0A
05-14-2021 20:42:51.207,9107,RECV,414142370D0A
05-14-2021 20:42:52.205,9108,RECV,414142370D0A
05-14-2021 20:42:53.201,9109,RECV,414142370D0A
05-14-2021 20:42:54.200,9110,RECV,414142370D0A
05-14-2021 20:42:55.206,9111,RECV,414142370D0A
05-14-2021 20:42:56.208,9112,RECV,414142370D0A
05-14-2021 20:42:57.211,9113,RECV,414142370D0A
05-14-2021 20:42:58.213,9114,RECV,414142370D0A
05-14-2021 20:42:59.213,9115,RECV,414142370D0A
05-14-2021 20:43:00.220,9116,RECV,414142370D0A
05-14-2021 20:43:01.165,9117,RECV,414142370D0A
05-14-2021 20:43:02.170,9118,RECV,414142370D0A
05-14-2021 20:43:03.172,9119,RECV,414142370D0A
05-14-2021 20:43:04.177,9120,RECV,414142370D0A
05-14-2021 20:43:05.189,9121,RECV,414142370D0A
05-14-2021 20:43:06.188,9122,RECV,414142370D0A
05-14-2021 20:43:07.189,9123,RECV,414142370D0A
05-14-2021 20:43:08.194,9124,RECV,414142370D0A
05-14-2021 20:43:09.194,9125,RECV,414142370D0A
05-14-2021 20:43:10.193,9126,RECV,414142370D0A
05-14-2021 20:43:11.193,9127,RECV,414142370D0A
05-14-2021 20:43:12.196,9128,RECV,414142370D0A
05-14-2021 20:43:13.201,9129,RECV,414142370D0A
05-14-2021 20:43:14.205,9130,RECV,414142370D0A
05-14-2021 20:43:15.209,9131,RECV,414142370D0A
